Number,Word,Lemma,POS,Head,Dependency label,Gold head,Gold dependency,Dif head,Dif dependency
2,also,also,RB,3,advmod,3,advmod,0,0
3,nominated,nominate,VBD,0,ROOT,0,root,0,1
4,A.,A.,NNP,5,compound,3,obj,1,1
5,Noel,Noel,NNP,7,compound,4,flat,1,1
6,Anketell,Anketell,NNP,7,compound,4,flat,1,1
7,Kramer,Kramer,NNP,3,dobj,4,flat,1,1
8,for,for,IN,3,prep,13,case,1,1
9,a,a,DT,13,det,13,det,0,0
10,15,15,CD,12,nummod,12,nummod,0,0
11,-,-,HYPH,12,punct,12,punct,0,0
12,year,year,NN,13,compound,13,compound,0,0
13,term,term,NN,8,pobj,3,obl,1,1
14,as,as,IN,13,prep,16,case,1,1
15,associate,associate,JJ,16,amod,16,amod,0,0
16,judge,judge,NN,14,pobj,13,nmod,1,1
17,of,of,IN,16,prep,19,case,1,1
18,the,the,DT,19,det,19,det,0,0
19,District,District,NNP,17,pobj,16,nmod,1,1
20,of,of,IN,19,prep,22,case,1,1
21,Columbia,Columbia,NNP,22,compound,22,compound,0,0
22,Court,Court,NNP,20,pobj,19,nmod,1,1
23,of,of,IN,22,prep,24,case,1,1
24,Appeals,Appeals,NNPS,23,pobj,22,nmod,1,1
25,",",",",",",3,punct,3,punct,0,0
26,replacing,replace,VBG,3,advcl,3,advcl,0,0
27,John,John,NNP,29,compound,26,obj,1,1
28,Montague,Montague,NNP,29,compound,27,flat,1,1
29,Steadman,Steadman,NNP,26,dobj,27,flat,1,1
30,.,.,.,3,punct,3,punct,0,0
1,The,the,DT,2,det,2,det,0,0
2,sheikh,sheikh,NN,9,nsubjpass,9,nsubj:pass,0,1
3,in,in,IN,2,prep,6,case,1,1
4,wheel,wheel,NN,6,compound,6,compound,0,0
5,-,-,HYPH,6,punct,6,punct,0,0
6,chair,chair,NN,3,pobj,2,nmod,1,1
7,has,have,VBZ,9,aux,9,aux,0,0
8,been,be,VBN,9,auxpass,9,aux:pass,0,1
9,attacked,attack,VBN,0,ROOT,0,root,0,1
10,with,with,IN,9,prep,17,case,1,1
11,a,a,DT,17,det,17,det,0,0
12,F,f,NN,14,compound,16,compound,1,0
13,-,-,HYPH,14,punct,12,punct,1,0
14,16,16,CD,16,npadvmod,12,compound,1,1
15,-,-,HYPH,16,punct,16,punct,0,0
16,launched,launch,VBN,17,amod,17,acl,0,1
17,bomb,bomb,NN,10,pobj,9,obl,1,1
18,.,.,.,9,punct,9,punct,0,0
1,He,he,PRP,4,nsubjpass,4,nsubj:pass,0,1
2,could,could,MD,4,aux,4,aux,0,0
3,be,be,VB,4,auxpass,4,aux:pass,0,1
4,killed,kill,VBN,0,ROOT,0,root,0,1
5,years,year,NNS,6,npadvmod,6,obl:tmod,0,1
6,ago,ago,RB,4,advmod,4,advmod,0,0
7,and,and,CC,4,cc,10,cc,1,0
8,the,the,DT,9,det,9,det,0,0
9,israelians,israelians,NNPS,10,nsubj,10,nsubj,0,0
10,have,have,VBP,4,conj,4,conj,0,0
11,all,all,PDT,13,predet,13,det:predet,0,1
12,the,the,DT,13,det,13,det,0,0
13,reasons,reason,NNS,10,dobj,10,obj,0,1
14,",",",",",",10,punct,10,punct,0,0
15,since,since,IN,17,mark,17,mark,0,0
16,he,he,PRP,17,nsubj,17,nsubj,0,0
17,founded,found,VBD,10,advcl,10,advcl,0,0
18,and,and,CC,10,cc,23,cc,1,0
19,he,he,PRP,20,nsubj,23,nsubj,1,0
20,is,be,VBZ,10,conj,23,cop,1,1
21,the,the,DT,23,det,23,det,0,0
22,spiritual,spiritual,JJ,23,amod,23,amod,0,0
23,leader,leader,NN,20,attr,17,conj,1,1
24,of,of,IN,23,prep,25,case,1,1
25,Hamas,Hamas,NNP,24,pobj,23,nmod,1,1
26,",",",",",",20,punct,29,punct,1,0
27,but,but,CC,10,cc,29,cc,1,0
28,they,they,PRP,29,nsubj,29,nsubj,0,0
29,did,do,VBD,10,conj,4,conj,1,0
30,n't,not,RB,29,neg,29,advmod,0,1
31,.,.,.,29,punct,4,punct,1,0
1,Today,today,NN,3,poss,3,nmod:poss,0,1
2,'s,'s,POS,1,case,1,case,0,0
3,incident,incident,NN,4,nsubj,4,nsubj,0,0
4,proves,prove,VBZ,0,ROOT,0,root,0,1
5,that,that,IN,8,mark,8,mark,0,0
6,Sharon,Sharon,NNP,8,nsubj,8,nsubj,0,0
7,has,have,VBZ,8,aux,8,aux,0,0
8,lost,lose,VBN,4,ccomp,4,ccomp,0,0
9,his,he,PRP$,10,poss,10,nmod:poss,0,1
10,patience,patience,NN,8,dobj,8,obj,0,1
11,and,and,CC,10,cc,13,cc,1,0
12,his,he,PRP$,13,poss,13,nmod:poss,0,1
13,hope,hope,NN,10,conj,10,conj,0,0
14,in,in,IN,13,prep,15,case,1,1
15,peace,peace,NN,14,pobj,13,nmod,1,1
16,.,.,.,4,punct,4,punct,0,0
1,Nervous,nervous,JJ,2,amod,2,amod,0,0
2,people,people,NNS,3,nsubj,3,nsubj,0,0
3,make,make,VBP,0,ROOT,0,root,0,1
4,mistakes,mistake,NNS,3,dobj,3,obj,0,1
5,",",",",",",3,punct,3,punct,0,0
6,so,so,RB,3,cc,8,advmod,1,1
7,I,I,PRP,8,nsubj,8,nsubj,0,0
8,suppose,suppose,VBP,3,conj,3,parataxis,0,1
9,there,there,EX,11,expl,11,expl,0,0
10,will,will,MD,11,aux,11,aux,0,0
11,be,be,VB,8,ccomp,8,ccomp,0,0
12,a,a,DT,13,det,13,det,0,0
13,wave,wave,NN,11,attr,11,nsubj,0,1
14,of,of,IN,13,prep,17,case,1,1
15,succesfull,succesfull,JJ,17,amod,17,amod,0,0
16,arab,arab,JJ,17,amod,17,amod,0,0
17,attacks,attack,NNS,14,pobj,13,nmod,1,1
18,.,.,.,8,punct,3,punct,1,0
1,A,a,FW,4,quantmod,0,root,1,1
2,la,la,FW,3,advmod,1,flat:foreign,1,1
3,guerre,guerre,FW,4,amod,1,flat:foreign,1,1
4,c'est,c'est,FW,5,nsubj,1,flat:foreign,1,1
5,comme,comme,FW,0,ROOT,1,flat:foreign,1,1
6,a,a,FW,8,det,1,flat:foreign,1,1
7,la,la,FW,8,advmod,1,flat:foreign,1,1
8,guerre,guerre,FW,5,dobj,1,flat:foreign,1,1
9,!,!,.,5,punct,1,punct,1,0
1,In,in,IN,9,prep,4,case,1,1
2,the,the,DT,4,det,4,det,0,0
3,eastern,eastern,JJ,4,amod,4,amod,0,0
4,city,city,NN,1,pobj,9,obl,1,1
5,of,of,IN,4,prep,6,case,1,1
6,Baqubah,Baqubah,NNP,5,pobj,4,nmod,1,1
7,",",",",",",9,punct,9,punct,0,0
8,guerrillas,guerrilla,NNS,9,nsubj,9,nsubj,0,0
9,detonated,detonate,VBD,0,ROOT,0,root,0,1
10,a,a,DT,12,det,12,det,0,0
11,car,car,NN,12,compound,12,compound,0,0
12,bomb,bomb,NN,9,dobj,9,obj,0,1
13,outside,outside,IN,9,prep,16,case,1,1
14,a,a,DT,16,det,16,det,0,0
15,police,police,NN,16,compound,16,compound,0,0
16,station,station,NN,13,pobj,9,obl,1,1
17,",",",",",",9,punct,9,punct,0,0
18,killing,kill,VBG,9,advcl,9,advcl,0,0
19,several,several,JJ,20,amod,20,amod,0,0
20,people,people,NNS,18,dobj,18,obj,0,1
21,.,.,.,9,punct,9,punct,0,0
1,The,the,DT,2,det,2,det,0,0
2,US,US,NNP,3,nsubj,3,nsubj,0,0
3,lost,lose,VBD,0,ROOT,0,root,0,1
4,yet,yet,RB,6,advmod,6,advmod,0,0
5,another,another,DT,6,det,6,det,0,0
6,helicopter,helicopter,NN,3,dobj,3,obj,0,1
7,to,to,IN,3,prep,9,case,1,1
8,hostile,hostile,JJ,9,amod,9,amod,0,0
9,fire,fire,NN,7,pobj,3,obl,1,1
10,near,near,IN,9,prep,11,case,1,1
11,Habbaniyah,Habbaniyah,NNP,10,pobj,9,nmod,1,1
12,in,in,IN,9,prep,15,case,1,1
13,the,the,DT,15,det,15,det,0,0
14,Sunni,sunni,JJ,15,compound,15,amod,0,1
15,heartland,heartland,NN,12,pobj,11,nmod,1,1
16,",",",",",",3,punct,23,punct,1,0
17,but,but,CC,3,cc,23,cc,1,0
18,this,this,DT,19,det,19,det,0,0
19,time,time,NN,22,npadvmod,23,obl:tmod,1,1
20,the,the,DT,21,det,21,det,0,0
21,crew,crew,NN,22,nsubj,23,nsubj,1,0
22,was,be,VBD,3,conj,23,cop,1,1
23,safe,safe,JJ,22,acomp,3,conj,1,1
24,.,.,.,22,punct,3,punct,1,0
1,In,in,IN,7,prep,2,case,1,1
2,Fallujah,Fallujah,NNP,1,pobj,7,obl,1,1
3,",",",",",",7,punct,7,punct,0,0
4,hundreds,hundred,NNS,7,nsubj,7,nsubj,0,0
5,of,of,IN,4,prep,6,case,1,1
6,demonstrators,demonstrator,NNS,5,pobj,4,nmod,1,1
7,came,come,VBD,0,ROOT,0,root,0,1
8,out,out,RB,7,prt,7,advmod,0,1
9,against,against,IN,7,prep,11,case,1,1
10,US,US,NNP,11,compound,11,compound,0,0
11,troops,troops,NN,9,pobj,7,obl,1,1
12,when,when,WRB,15,advmod,15,mark,0,1
13,they,they,PRP,15,nsubj,15,nsubj,0,0
14,briefly,briefly,RB,15,advmod,15,advmod,0,0
15,arrested,arrest,VBD,7,advcl,7,advcl,0,0
16,a,a,DT,19,det,19,det,0,0
17,yound,yound,JJ,19,amod,19,amod,0,0
18,newlywed,newlywed,JJ,19,amod,19,amod,0,0
19,bride,bride,NN,15,dobj,15,obj,0,1
20,.,.,.,7,punct,7,punct,0,0
1,(,(,-LRB-,3,punct,3,punct,0,0
2,I,I,PRP,3,nsubj,3,nsubj,0,0
3,hope,hope,VBP,0,ROOT,0,root,0,1
4,that,that,IN,8,mark,8,mark,0,0
5,the,the,DT,7,det,7,det,0,0
6,US,US,NNP,7,compound,7,compound,0,0
7,army,army,NN,8,nsubj,8,nsubj,0,0
8,got,get,VBD,3,ccomp,3,ccomp,0,0
9,an,a,DT,11,det,11,det,0,0
10,enormous,enormous,JJ,11,amod,11,amod,0,0
11,amount,amount,NN,8,dobj,8,obj,0,1
12,of,of,IN,11,prep,13,case,1,1
13,information,information,NN,12,pobj,11,nmod,1,1
14,from,from,IN,11,prep,16,case,1,1
15,her,she,PRP$,16,poss,16,nmod:poss,0,1
16,relatives,relative,NNS,14,pobj,8,obl,1,1
17,",",",",",",8,punct,3,punct,1,0
18,because,because,IN,22,mark,27,mark,1,0
19,otherwise,otherwise,RB,22,advmod,27,advmod,1,0
20,this,this,DT,21,det,21,det,0,0
21,move,move,NN,22,nsubj,27,nsubj,1,0
22,was,be,VBD,8,advcl,27,cop,1,1
23,a,a,DT,27,det,27,det,0,0
24,bad,bad,JJ,27,amod,27,amod,0,0
25,",",",",",",27,punct,27,punct,0,0
26,bad,bad,JJ,27,amod,27,amod,0,0
27,tradeoff,tradeoff,NN,22,attr,3,advcl,1,1
28,),),-RRB-,22,punct,3,punct,1,0
29,.,.,.,3,punct,3,punct,0,0
1,The,the,DT,3,det,3,det,0,0
2,US,US,NNP,3,compound,3,compound,0,0
3,troops,troops,NNS,4,nsubj,4,nsubj,0,0
4,fired,fire,VBD,0,ROOT,0,root,0,1
5,into,into,IN,4,prep,8,case,1,1
6,the,the,DT,8,det,8,det,0,0
7,hostile,hostile,JJ,8,amod,8,amod,0,0
8,crowd,crowd,NN,5,pobj,4,obl,1,1
9,",",",",",",4,punct,4,punct,0,0
10,killing,kill,VBG,4,advcl,4,advcl,0,0
11,4,4,CD,10,dobj,10,obj,0,1
12,.,.,.,4,punct,4,punct,0,0
1,It,it,PRP,2,nsubj,2,expl,0,1
2,seems,seem,VBZ,0,ROOT,0,root,0,1
3,clear,clear,JJ,2,oprd,2,xcomp,0,1
4,to,to,IN,3,prep,5,case,1,1
5,me,I,PRP,4,pobj,2,obl,1,1
6,that,that,IN,19,mark,19,mark,0,0
7,the,the,DT,8,det,8,det,0,0
8,manhunt,manhunt,NN,19,nsubjpass,19,nsubj:pass,0,1
9,for,for,IN,8,prep,12,case,1,1
10,high,high,JJ,12,amod,12,amod,0,0
11,Baath,Baath,NNP,12,compound,12,compound,0,0
12,officials,official,NNS,9,pobj,8,nmod,1,1
13,in,in,IN,12,prep,16,case,1,1
14,the,the,DT,16,det,16,det,0,0
15,Sunni,sunni,JJ,16,compound,16,amod,0,1
16,heartland,heartland,NN,13,pobj,8,nmod,1,1
17,is,be,VBZ,19,aux,19,aux,0,0
18,being,be,VBG,19,auxpass,19,aux:pass,0,1
19,done,do,VBN,2,ccomp,2,csubj,0,1
20,wrong,wrong,RB,19,advmod,19,xcomp,0,1
21,",",",",",",19,punct,26,punct,1,0
22,or,or,CC,19,cc,26,cc,1,0
23,at,at,RB,24,advmod,26,advmod,1,0
24,least,least,RBS,25,advmod,23,fixed,1,1
25,in,in,IN,19,conj,26,case,1,1
26,ways,way,NNS,25,pobj,20,conj,1,1
27,that,that,WDT,28,nsubj,29,nsubj,1,0
28,are,be,VBP,26,relcl,29,cop,1,1
29,bad,bad,JJ,28,acomp,26,acl:relcl,1,1
30,for,for,IN,28,prep,32,case,1,1
31,US,US,NNP,32,nsubj,32,compound,0,1
32,standing,standing,NN,30,pcomp,29,obl,1,1
33,with,with,IN,32,prep,35,case,1,1
34,local,local,JJ,35,amod,35,amod,0,0
35,Iraqis,Iraqis,NNPS,33,pobj,32,nmod,1,1
36,.,.,.,2,punct,2,punct,0,0
1,Google,Google,NNP,4,nsubj,4,nsubj,0,0
2,has,have,VBZ,4,aux,4,aux,0,0
3,finally,finally,RB,4,advmod,4,advmod,0,0
4,had,have,VBN,0,ROOT,0,root,0,1
5,an,a,DT,7,det,7,det,0,0
6,analyst,analyst,NN,7,compound,7,compound,0,0
7,day,day,NN,4,dobj,4,obj,0,1
8,--,--,:,4,punct,7,punct,1,0
9,a,a,DT,10,det,10,det,0,0
10,chance,chance,NN,4,dobj,7,appos,1,1
11,to,to,TO,12,aux,12,mark,0,1
12,present,present,VB,10,acl,10,acl,0,0
13,the,the,DT,14,det,14,det,0,0
14,company,company,NN,16,poss,16,nmod:poss,0,1
15,'s,'s,POS,14,case,14,case,0,0
16,story,story,NN,12,dobj,12,obj,0,1
17,to,to,IN,12,prep,21,case,1,1
18,the,the,DT,21,det,21,det,0,0
19,(,(,-LRB-,21,punct,21,punct,0,0
20,miniscule,miniscule,JJ,21,amod,21,amod,0,0
21,number,number,NN,17,pobj,12,obl,1,1
22,of,of,IN,21,prep,24,case,1,1
23,),),-RRB-,22,punct,24,punct,1,0
24,people,people,NNS,22,pobj,21,nmod,1,1
25,who,who,WP,28,nsubj,28,nsubj,0,0
26,have,have,VBP,28,aux,28,aux,0,0
27,n't,not,RB,28,neg,28,advmod,0,1
28,heard,hear,VBN,24,relcl,24,acl:relcl,0,1
29,it,it,PRP,28,dobj,28,obj,0,1
30,.,.,.,4,punct,4,punct,0,0
1,Usually,usually,RB,4,advmod,7,advmod,1,0
2,",",",",",",4,punct,7,punct,1,0
3,these,these,DT,4,nsubj,7,nsubj,1,0
4,are,be,VBP,0,ROOT,7,cop,1,1
5,just,just,RB,7,advmod,7,advmod,0,0
6,a,a,DT,7,det,7,det,0,0
7,chance,chance,NN,4,attr,0,root,1,1
8,for,for,IN,12,mark,12,mark,0,0
9,the,the,DT,10,det,10,det,0,0
10,suckups,suckup,NNS,12,nsubj,12,nsubj,0,0
11,to,to,TO,12,aux,12,mark,0,1
12,suck,suck,VB,7,advcl,7,acl,0,1
13,up,up,RP,12,prt,12,compound:prt,0,1
14,",",",",",",4,punct,21,punct,1,0
15,but,but,CC,4,cc,21,cc,1,0
16,this,this,DT,17,det,17,det,0,0
17,time,time,NN,19,npadvmod,21,obl:tmod,1,1
18,people,people,NNS,19,nsubj,21,nsubj,1,0
19,are,be,VBP,4,conj,21,cop,1,1
20,actually,actually,RB,21,advmod,21,advmod,0,0
21,concerned,concerned,JJ,19,acomp,7,conj,1,1
22,about,about,IN,21,prep,26,case,1,1
23,the,the,DT,24,det,24,det,0,0
24,company,company,NN,26,poss,26,nmod:poss,0,1
25,'s,'s,POS,24,case,24,case,0,0
26,plans,plan,NNS,22,pobj,21,obl,1,1
27,.,.,.,19,punct,7,punct,1,0
1,They,they,PRP,2,nsubj,2,nsubj,0,0
2,work,work,VBP,0,ROOT,0,root,0,1
3,on,on,IN,2,prep,5,case,1,1
4,Wall,Wall,NNP,5,compound,5,compound,0,0
5,Street,Street,NNP,3,pobj,2,obl,1,1
6,",",",",",",2,punct,2,punct,0,0
7,after,after,IN,8,advmod,8,case,0,1
8,all,all,RB,2,advmod,2,obl,0,1
9,",",",",",",2,punct,2,punct,0,0
10,so,so,RB,2,cc,28,advmod,1,1
11,when,when,WRB,13,advmod,13,mark,0,1
12,they,they,PRP,13,nsubj,13,nsubj,0,0
13,hear,hear,VBP,28,advcl,28,advcl,0,0
14,a,a,DT,15,det,15,det,0,0
15,company,company,NN,17,nsubj,13,obj,1,1
16,who's,who's,WP$,17,npadvmod,18,nmod:poss,1,1
17,stated,state,VBN,18,amod,18,amod,0,0
18,goals,goal,NNS,19,nsubj,19,nsubj,0,0
19,include,include,VBP,13,ccomp,15,acl:relcl,1,1
20,	,``,,23,nsubj,24,punct,1,1
21,Do,do,VB,23,aux,24,aux,1,0
22,n't,not,RB,23,neg,24,advmod,1,1
23,be,be,VB,19,ccomp,24,cop,1,1
24,evil,evil,JJ,23,acomp,19,ccomp,1,1
25,",",",",",",28,punct,13,punct,1,0
26,	,'',,28,dep,13,punct,1,1
27,they,they,PRP,28,nsubj,28,nsubj,0,0
28,imagine,imagine,VBP,2,conj,2,parataxis,0,1
29,a,a,DT,31,det,30,det,1,0
30,company,company,NN,31,compound,28,obj,1,1
31,who's,who's,WP$,28,dobj,33,nmod:poss,1,1
32,eventually,eventually,JJ,31,advmod,33,amod,1,1
33,history,history,NN,35,nsubj,35,nsubj,0,0
34,will,will,MD,35,aux,35,aux,0,0
35,be,be,VB,28,ccomp,30,acl:relcl,1,1
36,	,``,,39,nsubj,40,punct,1,1
37,Do,do,VB,39,aux,40,aux,1,0
38,n't,not,RB,39,neg,40,advmod,1,1
39,be,be,VB,35,ccomp,40,cop,1,1
40,profitable,profitable,JJ,39,acomp,35,ccomp,1,1
41,.,.,.,28,punct,2,punct,1,0
42,	,'',,2,intj,2,punct,0,1
1,It,it,PRP,2,nsubj,8,nsubj,1,0
2,'s,be,VBZ,18,ccomp,8,cop,1,1
3,not,not,RB,2,neg,8,advmod,1,1
4,quite,quite,RB,2,advmod,5,advmod,1,0
5,as,as,RB,2,prep,6,advmod,1,1
6,freewheeling,freewheeling,JJ,5,pcomp,8,amod,1,1
7,an,a,DT,8,det,8,det,0,0
8,environment,environment,NN,6,dobj,0,root,1,1
9,as,as,IN,12,mark,12,mark,0,0
10,you,you,PRP,12,nsubj,12,nsubj,0,0
11,'d,would,MD,12,aux,12,aux,0,0
12,imagine,imagine,VB,6,advcl,5,advcl,1,0
13,:,:,:,18,punct,8,punct,1,0
14,Sergey,Sergey,NNP,15,compound,18,nsubj,1,1
15,Brin,Brin,NNP,18,nsubj,14,flat,1,1
16,has,have,VBZ,18,aux,18,aux,0,0
17,actually,actually,RB,18,advmod,18,advmod,0,0
18,created,create,VBN,0,ROOT,8,parataxis,1,1
19,a,a,DT,22,det,22,det,0,0
20,mathematical,mathematical,JJ,22,amod,22,amod,0,0
21,',',``,22,punct,22,punct,0,0
22,proof,proof,NN,18,dobj,18,obj,0,1
23,',','',22,punct,22,punct,0,0
24,that,that,IN,49,mark,54,mark,1,0
25,the,the,DT,26,det,26,det,0,0
26,company,company,NN,32,poss,32,nmod:poss,0,1
27,'s,'s,POS,26,case,26,case,0,0
28,self,self,NN,30,npadvmod,30,compound,0,1
29,-,-,HYPH,30,punct,30,punct,0,0
30,driven,drive,VBN,32,amod,32,amod,0,0
31,research,research,NN,32,compound,32,compound,0,0
32,strategy,strategy,NN,49,nsubj,54,nsubj,1,0
33,",",",",",",32,punct,32,punct,0,0
34,which,which,WDT,35,nsubj,35,nsubj,0,0
35,gives,give,VBZ,32,relcl,32,acl:relcl,0,1
36,employees,employee,NNS,35,dative,35,iobj,0,1
37,one,one,CD,38,nummod,38,nummod,0,0
38,day,day,NN,35,npadvmod,35,obj,0,1
39,a,a,DT,40,det,40,det,0,0
40,week,week,NN,38,npadvmod,38,nmod:tmod,0,1
41,to,to,TO,42,aux,42,mark,0,1
42,do,do,VB,35,xcomp,38,acl,1,1
43,research,research,NN,44,compound,44,compound,0,0
44,projects,project,NNS,42,dobj,42,obj,0,1
45,on,on,IN,42,prep,47,case,1,1
46,their,they,PRP$,47,poss,47,nmod:poss,0,1
47,own,own,JJ,45,pobj,42,obl,1,1
48,",",",",",",32,punct,54,punct,1,0
49,is,be,VBZ,22,acl,54,cop,1,1
50,a,a,DT,54,det,54,det,0,0
51,good,good,JJ,54,amod,54,amod,0,0
52,",",",",",",54,punct,54,punct,0,0
53,respectable,respectable,JJ,54,amod,54,amod,0,0
54,idea,idea,NN,49,attr,22,acl,1,1
55,.,.,.,18,punct,8,punct,1,0
1,Read,read,VB,7,advcl,0,root,1,1
2,the,the,DT,4,det,4,det,0,0
3,entire,entire,JJ,4,amod,4,amod,0,0
4,article,article,NN,1,dobj,1,obj,0,1
5,;,;,",",7,punct,1,punct,1,0
6,there,there,EX,7,expl,7,expl,0,0
7,'s,be,VBZ,0,ROOT,1,parataxis,1,1
8,a,a,DT,9,det,9,det,0,0
9,punchline,punchline,NN,7,attr,7,nsubj,0,1
10,",",",",",",7,punct,7,punct,0,0
11,too,too,RB,7,advmod,7,advmod,0,0
12,.,.,.,7,punct,1,punct,1,0
1,My,my,PRP$,3,poss,3,nmod:poss,0,1
2,opinion,opinion,NN,3,compound,3,compound,0,0
3,piece,piece,NN,16,nsubj,16,nsubj,0,0
4,on,on,IN,3,prep,6,case,1,1
5,the,the,DT,6,det,6,det,0,0
6,implications,implication,NNS,4,pobj,3,nmod,1,1
7,of,of,IN,6,prep,10,case,1,1
8,Arafat,Arafat,NNP,10,poss,10,nmod:poss,0,1
9,'s,'s,POS,8,case,8,case,0,0
10,passing,passing,NN,7,pobj,6,nmod,1,1
11,for,for,IN,16,mark,14,case,1,1
12,al,al,NNP,14,compound,14,compound,0,0
13,-,-,HYPH,14,punct,14,punct,0,0
14,Qaeda,Qaeda,NNP,16,nsubj,6,nmod,1,1
15,has,have,VBZ,16,aux,16,aux,0,0
16,appeared,appear,VBN,0,ROOT,0,root,0,1
17,at,at,IN,16,prep,18,case,1,1
18,Newsday,Newsday,NNP,17,pobj,16,obl,1,1
19,.,.,.,16,punct,16,punct,0,0
